,toxic,non-toxic
517567,I don't talk to pigs without my lawyer.,I'm not talking to a cop without a lawyer.
35039,"Well, that was just pathetic. Haven't you ever tried to get somebody to dump a celebrity before?",did you ever try to get someone to break up with a celebrity?
160212,He'il bleed out.,he's bleeding out.
51804,Three billion red Chinese don't give a damn.,three billion ruds of Chinese don't care.
483742,she's an abused wife.,So she's a battered spouse.
66963,I'll never dance again! I'm a cripple.,I'll never be dancing again.
170411,Like it's so easy to get pregnant from some dude nutting into a condom.,it's like it's an easy pregnancy for a condom from a condom.
177727,So those little sucker bite?,the little critters bite?
129212,So I hope this will be crap.,"well, I hope it does."
414715,All my shit's on that one.,I've got all my stuff on this.
318492,"Great. When I buy my wife, at the start, she was cook good, her vagina work well and she strong on plow.","when I bought my wife, cook first, the stove worked, and strong with the plume."
274090,"This conversation’s ridiculous, thought Kaufman.","absurd conversation, Kaufman thought."
152296,"""I don't give much of a shit about Susan Day, one way or the other.""","""I don't care about Susan Day,"" said Kirkland."
478039,I don't shit on Italians.,I don't throw it on italy.
370336,"Get out of the fucking hall, please.","get out of the hallway, please."
515140,not even one fucking thank you?,You've not even said thank you.
136064,He masturbates with impressive frequency?,masturbating at incredible intervals?
68072,"ask the waiter for a steak knife and he will stab you in the eye, as if you were asking for a sword.",Ask a waiter for a steak knife and you will draw a look that suggests you've asked for a sword.
211880,Then this trash arrived... ...as moths to a flame.,then this guy came in... like a moth to a flame.
58195,God... Fucking...,"oh, my God."
344693,"I hated the colonel, his pig's eyes and his leather view. ""You buy my chicken!""","I hated the Colonel with his wee beady eyes... and that smug look on his face, ""Oh, you're gonna buy my chicken."""
444209,"Damn, I had something for this.","hell, I was gonna say something."
392061,You're not fuckin' him.,you're not sleeping with him.
485811,son of a bitch!,Son of a¡­!
142145,A thousand years in the grave and she's still screwing with you.,a thousand years in the grave and he can still piss you off.
112841,you're happy if you're drunk as animals.,But you're never happy till you're drunk.
145596,"well, she's stupid.","Well, she is clueless."
436014,"Shit, Bubbles know Bird.",he knows Bubbles Bird.
566810,He died soon after in a fight over a tavern whore.',"soon after, he died in a fight for a housewife. """
265641,Remember when you said you wanted to have sex with me in a weird place?,remember how you said you wanted to make love to me in an unusual place?
492794,"I mean, he came up off that shit, then we did our thing with the guard, and I thought...","he claimed it was over, then we arranged it with the warden and I thought..."
260559,don't hit me in the face.,Don't hit my face.
69626,"""this will teach this bastard Burt to mess with his ex-prom queen if he wants something.""","""That'il teach that SOB Burt to mess with the ex-prom queen when she wants something."""
154614,shut up!,We're closed!
310970,Why the hell are you here?,why are you here?
79745,So I really don't feel like walking in to watch someone perform that's probably just gonna think I'm this bitch.,so I don't really want to watch an appearance by someone who probably thinks I'm a cow anyway.
273189,Do you have any idea how fucking infuriating you are?,do you have any idea how bad you are?
278733,"""your presence is useless.""","""It is your presence which is unnecessary."""
220148,maybe they think they can go to her death.,Maybe she thinks they're responsible for her death.
355013,"the other two buildings looked like crap, but they were missing shields by announcing the kind of merchandise sold.","There were two other buildings that appeared to be shops, but without signs to herald their merchandise."
47833,Will enhance your pathetic attempts At cutting-edge weaponry nicely.,I'll easily improve your woeful attempt at innovative weapons.
397508,"I mean, for Christ's sake, how much could this black girl be?","I mean, Jesus Christ, how old do you think that black girl was?"
571275,"It's mine, jerk-wad.","that's mine, nutnut."
211856,"I will bring me up guns out of Avalon, and I will break down your doors and smite your defenders.","I'm going, Eric, and I'll take the gun from Avalon, break your door, and I'll spread your defenders."
146879,Damnit!,"oh, hell!"
571414,No go. We're really trapped. Fuck.,great. We're really trapped.
158975,so I took him to death.,So I stole his Dead Pool.
97170,"all corpses need to be disposed of, preferably burned.","The bodies should be disposed of at once, preferably by cremation."
567200,don't worry about a little...... erection.,Don't worry about the small... ...erection.
373975,I just read something that makes your hair look like shit.,I’ve just been reading stuff to make your hair curl.
205840,"What's it say about life, hmm, you got to get together, tell yourself stories that violate every law of the universe just to get through the goddamn day?","what does this say about life? People get together, he tells stories, what contradicts all the universe codes, just to survive daily life?"
262844,"Maybe he'll get here eventually, But traffic's a bitch today.","he may eventually get here, but traffic is terrible today."
501970,"I'll bet if he didn't manually decapitated you, and position your body in just the right angle,","if they don't manually reset you, and the position of your body at the right angle,"
91249,"I'm not fucking listening, Dexter.","I don't wanna hear it, Dexter, okay?"
68095,you want to piss me off?,Want to annoy me?
262700,Now what the hell do you think you're doing?,what do you think you're doing?
92026,you've always been a coward.,You always were a quitter.
166485,"if they die, we will deliver the mail to their descendants.","If they have died, we’ll try to deliver to their descendants."
454232,cut the crap.,Cut the frabbajabba.
528072,"Ridiculous, man. Just say you were hitchhiking to the airport, and I picked you up.","just say you hitchhiked to the airport, and I picked you up."
223431,we will all die on Scalosa.,We all die even on Scalos.
104263,"She gave a queer, half-pathetic little smile.","she had a peculiar, almost touching smile."
365835,they're buried in the basement of a lunatic asylum.,They're bunkered downin the basement of the asylum.
431284,"Official cause of accident, listed on the hospital form... pussy.",the official reason for the injuries on the hospital form... kitty.
270717,Damn near everybody here has got a mother or father hanging around outside.,there's almost every one of your mom or dad in there in front of the gate.
